Time (s),Fᵧ (N),rᵧ (m)
0.009999999776482582,0.000011554515367606655,0
0.019999999552965164,0.01817525178194046,0
0.029999999329447746,0.000034663546102819964,0
0.03999999910593033,0.01819836162030697,0
0.05000000074505806,0.018140587955713272,0
0.05999999865889549,0,0
0.07000000029802322,0,0
0.07999999821186066,0.009185840375721455,0
0.09000000357627869,0.009000967256724834,0
0.10000000149011612,0,0
0.10999999940395355,0.009220503270626068,0
0.11999999731779099,0.01819835975766182,0
0.12999999523162842,0.009104957804083824,0
0.14000000059604645,0.01819836162030697,0
0.15000000596046448,0.008931640535593033,0
0.1599999964237213,0.00927827600389719,0
0.17000000178813934,0.01800193451344967,0
0.18000000715255737,0.009301384910941124,0
0.1899999976158142,0.008885422721505165,0
0.20000000298023224,0.0002310903073521331,0
0.20999999344348907,0.0179557166993618,0
0.2199999988079071,0.009093403816223145,0
0.23000000417232513,0,0
0.23999999463558197,0.009093403816223145,0
0.25,0.009093403816223145,0
0.25999999046325684,0,0
0.27000001072883606,0.00031197190401144326,0
0.2800000011920929,0.0087814312428236,0
0.28999999165534973,0,0
0.30000001192092896,0,0
0.3100000023841858,0.0003581899800337851,0
0.3199999928474426,0.009104957804083824,0
0.33000001311302185,0.008723659440875053,0
0.3400000035762787,0.00039285351522266865,0
0.3499999940395355,0.008700549602508545,0
0.36000001430511475,0.009093403816223145,0
0.3700000047683716,0,0
0.3799999952316284,0.009093403816223145,0
0.38999998569488525,0.00045062610297463834,0
0.4000000059604645,0.017736181616783142,0
0.4099999964237213,0.009093403816223145,0
0.41999998688697815,0.009093403816223145,0
0.4300000071525574,0,0
0.4399999976158142,0,0
0.44999998807907104,0.009093403816223145,0
0.46000000834465027,0.0005315077141858637,0
0.4699999988079071,0.008561896160244942,0
0.47999998927116394,0,0
0.49000000953674316,0,0
0.5,0,0
0.5099999904632568,0,0
0.5199999809265137,0,0
0.5299999713897705,0.009093403816223145,0
0.5400000214576721,0,0
0.550000011920929,0,0
0.5600000023841858,0,0
0.5699999928474426,0,0
0.5799999833106995,0,0
0.5899999737739563,0,0
0.6000000238418579,0.009093403816223145,0
0.6100000143051147,0,0
0.6200000047683716,0,0
0.6299999952316284,0,0
0.6399999856948853,0,0
0.6499999761581421,0.009093403816223145,0
0.6600000262260437,0.0007625980069860816,0
0.6700000166893005,0.009104957804083824,0
0.6800000071525574,0.008319251239299774,0
0.6899999976158142,0,0
0.699999988079071,0.000808816053904593,0
