Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
4.079999923706055,-0.7814542055130005,0.061542101204395294,0.20169977843761444,-3.8567185401916504
4.090000152587891,-0.7905900478363037,0.06315236538648605,0.16091430187225342,-3.9159436225891113
4.099999904632568,-0.7943168878555298,0.06438662111759186,0.12334049493074417,-3.989825963973999
4.110000133514404,-0.7929829359054565,0.065284863114357,0.08973877131938934,-4.075197696685791
4.119999885559082,-0.7886086106300354,0.06570132821798325,0.041501160711050034,-4.110228061676025
4.130000114440918,-0.7795119881629944,0.06570444256067276,0.00022365222685039043,-4.147332668304443
4.139999866485596,-0.765012800693512,0.06529778242111206,-0.040785469114780426,-4.184926986694336
4.150000095367432,-0.7481483817100525,0.06444310396909714,-0.0855877548456192,-4.201992988586426
4.159999847412109,-0.7258847951889038,0.06314042955636978,-0.13039004802703857,-4.13010311126709
4.170000076293945,-0.6999122500419617,0.06146484985947609,-0.1676507443189621,-3.976344585418701
4.179999828338623,-0.6705544590950012,0.059377703815698624,-0.2088387906551361,-3.8094723224639893
4.190000057220459,-0.6334288716316223,0.05684255436062813,-0.2536410987377167,-3.6250033378601074
4.199999809265137,-0.5922723412513733,0.05393584817647934,-0.2907676100730896,-3.3817174434661865
4.210000038146973,-0.5480802655220032,0.050770021975040436,-0.31664878129959106,-3.1581923961639404
4.21999979019165,-0.5011764764785767,0.047302860766649246,-0.34681516885757446,-2.932462692260742
4.230000019073486,-0.4526084065437317,0.04357747733592987,-0.37260690331459045,-2.654554843902588
4.239999771118164,-0.3992610275745392,0.03954985737800598,-0.4028627872467041,-2.3724169731140137
4.25,-0.34328973293304443,0.035343583673238754,-0.4206656217575073,-2.1324381828308105
4.260000228881836,-0.28556156158447266,0.03086705692112446,-0.44775456190109253,-1.9220268726348877
4.269999980926514,-0.22485151886940002,0.026213668286800385,-0.46537840366363525,-1.6665171384811401
4.28000020980835,-0.1648377627134323,0.021448275074362755,-0.4765789806842804,-1.3611564636230469
4.289999961853027,-0.10615142434835434,0.016570881009101868,-0.48777949810028076,-1.0737272500991821
4.300000190734863,-0.04575537517666817,0.011581485159695148,-0.4989801049232483,-0.7680398225784302
4.309999942779541,0.011531973257660866,0.006480085197836161,-0.510180652141571,-0.4436614215373993
4.320000171661377,0.06990760564804077,0.0013484805822372437,-0.5131686925888062,-0.16898706555366516
4.329999923706055,0.12617498636245728,-0.0037008824292570353,-0.5049114227294922,0.13181723654270172
4.340000152587891,0.1815200001001358,-0.008803618140518665,-0.5103148818016052,0.43358513712882996
4.349999904632568,0.2381826788187027,-0.013768956996500492,-0.4964751899242401,0.775772750377655
4.360000133514404,0.2906971573829651,-0.018677448853850365,-0.49085700511932373,1.072314739227295
4.369999885559082,0.3405779302120209,-0.023501915857195854,-0.48242080211639404,1.3483445644378662
4.380000114440918,0.38843342661857605,-0.02812991291284561,-0.4627392590045929,1.6398565769195557
4.389999866485596,0.4332534372806549,-0.032618820667266846,-0.44886380434036255,1.9752421379089355
4.400000095367432,0.47604814171791077,-0.03682500123977661,-0.4205224812030792,2.2915446758270264
4.409999847412109,0.5161001682281494,-0.04086679220199585,-0.4041510224342346,2.6296985149383545
4.420000076293945,0.5538308024406433,-0.044624075293540955,-0.3756307363510132,2.8666317462921143
4.429999828338623,0.5870847105979919,-0.04804535210132599,-0.34202900528907776,3.0710983276367188
4.440000057220459,0.6139746904373169,-0.05113062262535095,-0.3084273040294647,3.2595927715301514
4.449999809265137,0.6395584344863892,-0.05379230156540871,-0.26603150367736816,3.411505937576294
4.460000038146973,0.6606557369232178,-0.05609400197863579,-0.23006799817085266,3.5546326637268066
4.46999979019165,0.6746668815612793,-0.058148179203271866,-0.20534980297088623,3.6004576683044434
4.480000019073486,0.6843410730361938,-0.05980050191283226,-0.16509215533733368,3.6046056747436523
4.489999771118164,0.6917053461074829,-0.06109417974948883,-0.12926284968852997,3.629176139831543
4.5,0.6935598850250244,-0.06196204200387001,-0.08664341270923615,3.6763079166412354
4.510000228881836,0.691082239151001,-0.062472157180309296,-0.0509035624563694,3.7439684867858887
4.519999980926514,0.6845541596412659,-0.06264626234769821,-0.01730184070765972,3.8321566581726074
4.53000020980835,0.6732385158538818,-0.062484364956617355,0.01629987731575966,3.840632677078247
4.539999961853027,0.6573241949081421,-0.06189486011862755,0.059098225086927414,3.83880352973938
4.550000190734863,0.6403946280479431,-0.060857340693473816,0.10390050709247589,3.805063009262085
4.559999942779541,0.6186776757240295,-0.059464313089847565,0.13941670954227448,3.7811219692230225
4.570000171661377,0.5949304699897766,-0.05764234438538551,0.18234926462173462,3.7351250648498535
4.579999923706055,0.5661224126815796,-0.05546573922038078,0.21777600049972534,3.5727598667144775
4.590000152587891,0.5325172543525696,-0.05295313149690628,0.25137773156166077,3.3371498584747314
4.599999904632568,0.4943327009677887,-0.05010451376438141,0.2849794328212738,3.143625020980835
4.610000133514404,0.4516128599643707,-0.046919893473386765,0.31858116388320923,2.890165090560913
4.619999885559082,0.4063405990600586,-0.04339926689863205,0.35218286514282227,2.6243584156036377
4.630000114440918,0.3572796881198883,-0.039733849465847015,0.36658617854118347,2.376075029373169
4.639999866485596,0.30593323707580566,-0.03586037456989288,0.3874306380748749,2.121912717819214
4.650000095367432,0.2540743052959442,-0.03166639804840088,0.41952043771743774,1.8751726150512695
4.659999847412109,0.1999461054801941,-0.027427246794104576,0.42392194271087646,1.6120444536209106
4.670000076293945,0.14530710875988007,-0.022993316873908043,0.44347822666168213,1.3551627397537231
