Time (s),Ay (m/s²),Fᵧ (N)
7.300000190734863,-13.308908462524414,-0.6496806144714355
7.309999942779541,-12.972260475158691,-0.5950855612754822
7.320000171661377,-12.658002853393555,-0.5313912630081177
7.329999923706055,-12.281591415405273,-0.4767961800098419
7.340000152587891,-11.916796684265137,-0.40400272607803345
7.349999904632568,-11.536276817321777,-0.33120930194854736
7.360000133514404,-11.102030754089355,-0.26751503348350525
7.369999885559082,-10.708341598510742,-0.20382076501846313
7.380000114440918,-10.320474624633789,-0.13102731108665466
7.389999866485596,-9.882689476013184,-0.05823386833071709
7.400000095367432,-9.481958389282227,0.014559579081833363
7.409999847412109,-9.091758728027344,0.08735302090644836
7.420000076293945,-8.711211204528809,0.16014647483825684
7.429999828338623,-8.340229034423828,0.2329399138689041
7.440000057220459,-7.975792407989502,0.3057333528995514
7.449999809265137,-7.588412761688232,0.3694276213645935
7.460000038146973,-7.260422229766846,0.4331218898296356
7.46999979019165,-6.933492660522461,0.5059153437614441
7.480000019073486,-6.603026866912842,0.5514112710952759
7.489999771118164,-6.299257278442383,0.6060063242912292
7.5,-6.021396636962891,0.6606014370918274
7.510000228881836,-5.755728721618652,0.696998119354248
7.519999980926514,-5.550121307373047,0.7515932321548462
7.53000020980835,-5.356104373931885,0.7879899740219116
7.539999961853027,-5.161881923675537,0.8243866562843323
7.550000190734863,-5.0018415451049805,0.8516842126846313
7.559999942779541,-4.883526802062988,0.8789817690849304
7.570000171661377,-4.7750935554504395,0.8880809545516968
7.579999923706055,-4.714976787567139,0.8971801400184631
7.590000152587891,-4.703765869140625,0.9062793254852295
7.599999904632568,-4.716484069824219,0.9062793254852295
7.610000133514404,-4.753130912780762,0.9062793254852295
7.619999885559082,-4.822700500488281,0.8880809545516968
7.630000114440918,-4.967439651489258,0.8698825836181641
7.639999866485596,-5.0904221534729,0.8516842126846313
7.650000095367432,-5.243371963500977,0.842585027217865
7.659999847412109,-5.448857307434082,0.8061883449554443
7.670000076293945,-5.688487529754639,0.7697916030883789
7.679999828338623,-5.9274420738220215,0.7242956757545471
7.690000057220459,-6.212002754211426,0.6697006225585938
7.699999809265137,-6.52348518371582,0.624204695224762
7.710000038146973,-6.865837097167969,0.5696095824241638
7.71999979019165,-7.204144477844238,0.5059153437614441
7.730000019073486,-7.577128887176514,0.442221075296402
7.739999771118164,-7.968664169311523,0.37852680683135986
7.75,-8.369698524475098,0.3057333528995514
7.760000228881836,-8.770673751831055,0.2329399138689041
7.769999980926514,-9.174345970153809,0.169245645403862
7.78000020980835,-9.59691047668457,0.08735302090644836
7.789999961853027,-10.052245140075684,0.03275793790817261
7.800000190734863,-10.443410873413086,-0.04003550484776497
7.809999942779541,-10.82625961303711,-0.1219281330704689
7.820000171661377,-11.20248794555664,-0.19472157955169678
